year,province,district,total_enrolment,dropout_rate_pct,dropout_count,male_dropout_rate_pct,female_dropout_rate_pct,repetition_rate_pct,retention_rate_g1_g9_pct,retention_rate_g1_g11_pct
2015,Central,Nuwara Eliya,165824,4.13,6848,4.63,3.63,1.86,80.2,69.0
2015,Southern,Galle,226124,1.19,2690,1.33,1.05,0.53,94.3,91.1
2015,Southern,Matara,175874,1.34,2356,1.5,1.18,0.63,93.6,90.0
2015,Southern,Hambantota,135675,1.85,2509,2.07,1.63,0.86,91.1,86.1
2015,Northern,Jaffna,125624,1.47,1846,1.65,1.29,0.63,92.9,89.0
2015,Northern,Kilinochchi,38189,3.67,1401,4.11,3.23,1.69,82.4,72.5
2015,Northern,Mannar,32159,2.8,900,3.14,2.46,1.31,86.6,79.0
2015,Northern,Vavuniya,45224,1.97,890,2.21,1.73,0.97,90.5,85.2
2015,Northern,Mullaitivu,28139,3.95,1111,4.42,3.48,1.77,81.0,70.4
2015,Eastern,Batticaloa,135675,3.8,5155,4.26,3.34,1.65,81.8,71.5
2015,Eastern,Ampara,155774,2.64,4112,2.96,2.32,1.2,87.3,80.2
2015,Eastern,Trincomalee,95474,3.17,3026,3.55,2.79,1.38,84.8,76.2
2015,North Western,Kurunegala,356774,1.61,5744,1.8,1.42,0.73,92.3,87.9
2015,North Western,Puttalam,165824,3.0,4974,3.36,2.64,1.34,85.6,77.5
2015,North Central,Anuradhapura,195974,2.12,4154,2.37,1.87,0.98,89.8,84.1
2015,North Central,Polonnaruwa,95474,2.2,2100,2.46,1.94,1.02,89.4,83.5
2015,Uva,Badulla,175874,3.41,5997,3.82,3.0,1.54,83.6,74.4
2015,Uva,Monaragala,110549,3.73,4123,4.18,3.28,1.64,82.1,72.0
2015,Sabaragamuwa,Ratnapura,236174,2.86,6754,3.2,2.52,1.29,86.3,78.5
2015,Sabaragamuwa,Kegalle,165824,1.95,3233,2.18,1.72,0.87,90.6,85.4
2016,Western,Colombo,378750,0.77,2916,0.86,0.68,0.37,96.3,94.2
2016,Western,Gampaha,348450,0.89,3101,1.0,0.78,0.38,95.7,93.3
2016,Western,Kalutara,217150,1.29,2801,1.44,1.14,0.6,93.8,90.3
2016,Central,Kandy,277750,1.75,4860,1.96,1.54,0.75,91.6,86.9
2016,Central,Matale,106050,2.17,2301,2.43,1.91,0.97,89.6,83.7
2016,Central,Nuwara Eliya,166650,3.89,6482,4.36,3.42,1.79,81.3,70.8
2016,Southern,Galle,227250,1.2,2727,1.34,1.06,0.61,94.2,91.0
2016,Southern,Matara,176750,1.24,2191,1.39,1.09,0.57,94.0,90.7
2016,Southern,Hambantota,136350,1.77,2413,1.98,1.56,0.76,91.5,86.7
2016,Northern,Jaffna,126250,1.45,1830,1.62,1.28,0.65,93.0,89.1
2016,Northern,Kilinochchi,38380,3.54,1358,3.96,3.12,1.55,83.0,73.5
2016,Northern,Mannar,32320,2.76,892,3.09,2.43,1.17,86.8,79.3
2016,Northern,Vavuniya,45450,2.05,931,2.3,1.8,0.97,90.2,84.6
2016,Northern,Mullaitivu,28280,3.74,1057,4.19,3.29,1.69,82.0,72.0
2016,Eastern,Batticaloa,136350,3.65,4976,4.09,3.21,1.63,82.5,72.6
2016,Eastern,Ampara,156550,2.47,3866,2.77,2.17,1.15,88.1,81.5
2016,Eastern,Trincomalee,95950,2.92,2801,3.27,2.57,1.35,86.0,78.1
2016,North Western,Kurunegala,358550,1.54,5521,1.72,1.36,0.76,92.6,88.5
2016,North Western,Puttalam,166650,2.79,4649,3.12,2.46,1.26,86.6,79.1
2016,North Central,Anuradhapura,196950,2.1,4135,2.35,1.85,0.89,89.9,84.2
2016,North Central,Polonnaruwa,95950,2.12,2034,2.37,1.87,0.99,89.8,84.1
2016,Uva,Badulla,176750,3.23,5709,3.62,2.84,1.5,84.5,75.8
2016,Uva,Monaragala,111100,3.61,4010,4.04,3.18,1.64,82.7,72.9
2016,Sabaragamuwa,Ratnapura,237350,2.67,6337,2.99,2.35,1.19,87.2,80.0
2016,Sabaragamuwa,Kegalle,166650,1.9,3166,2.13,1.67,0.85,90.9,85.8
2017,Western,Colombo,380624,0.84,3197,0.94,0.74,0.38,96.0,93.7
2017,Western,Gampaha,350174,0.85,2976,0.95,0.75,0.4,95.9,93.6
2017,Western,Kalutara,218224,1.28,2793,1.43,1.13,0.55,93.9,90.4
2017,Central,Kandy,279125,1.71,4773,1.92,1.5,0.74,91.8,87.2
2017,Central,Matale,106574,2.06,2195,2.31,1.81,0.97,90.1,84.5
2017,Central,Nuwara Eliya,167474,3.85,6447,4.31,3.39,1.78,81.5,71.1
2017,Southern,Galle,228374,1.23,2809,1.38,1.08,0.5,94.1,90.8
2017,Southern,Matara,177624,1.27,2255,1.42,1.12,0.56,93.9,90.5
2017,Southern,Hambantota,137025,1.78,2439,1.99,1.57,0.84,91.5,86.7
2017,Northern,Jaffna,126874,1.35,1712,1.51,1.19,0.59,93.5,89.9
2017,Northern,Kilinochchi,38569,3.39,1307,3.8,2.98,1.52,83.7,74.6
2017,Northern,Mannar,32479,2.63,854,2.95,2.31,1.19,87.4,80.3
2017,Northern,Vavuniya,45674,1.99,908,2.23,1.75,0.91,90.4,85.1
2017,Northern,Mullaitivu,28419,3.71,1054,4.16,3.26,1.71,82.2,72.2
2017,Eastern,Batticaloa,137025,3.56,4878,3.99,3.13,1.69,82.9,73.3
2017,Eastern,Ampara,157324,2.52,3964,2.82,2.22,1.1,87.9,81.1
2017,Eastern,Trincomalee,96424,2.86,2757,3.2,2.52,1.33,86.3,78.5
2017,North Western,Kurunegala,360324,1.54,5548,1.72,1.36,0.72,92.6,88.5
2017,North Western,Puttalam,167474,2.8,4689,3.14,2.46,1.25,86.6,79.0
2017,North Central,Anuradhapura,197924,1.98,3918,2.22,1.74,0.86,90.5,85.2
2017,North Central,Polonnaruwa,96424,2.05,1976,2.3,1.8,0.96,90.2,84.6
2017,Uva,Badulla,177624,3.25,5772,3.64,2.86,1.42,84.4,75.6
2017,Uva,Monaragala,111649,3.53,3941,3.95,3.11,1.6,83.1,73.5
2017,Sabaragamuwa,Ratnapura,238524,2.63,6273,2.95,2.31,1.21,87.4,80.3
2017,Sabaragamuwa,Kegalle,167474,1.84,3081,2.06,1.62,0.79,91.2,86.2
2018,Western,Colombo,382500,0.83,3174,0.93,0.73,0.38,96.0,93.8
2018,Western,Gampaha,351900,0.92,3237,1.03,0.81,0.42,95.6,93.1
2018,Western,Kalutara,219300,1.17,2565,1.31,1.03,0.53,94.4,91.2
2018,Central,Kandy,280500,1.61,4516,1.8,1.42,0.73,92.3,87.9
2018,Central,Matale,107100,2.1,2249,2.35,1.85,1.05,89.9,84.2
2018,Central,Nuwara Eliya,168300,3.85,6479,4.31,3.39,1.75,81.5,71.1
2018,Southern,Galle,229500,1.2,2754,1.34,1.06,0.54,94.2,91.0
2018,Southern,Matara,178500,1.18,2106,1.32,1.04,0.56,94.3,91.2
2018,Southern,Hambantota,137700,1.66,2285,1.86,1.46,0.76,92.0,87.5
2018,Northern,Jaffna,127500,1.31,1670,1.47,1.15,0.6,93.7,90.2
2018,Northern,Kilinochchi,38760,3.47,1344,3.89,3.05,1.46,83.3,74.0
2018,Northern,Mannar,32640,2.61,851,2.92,2.3,1.11,87.5,80.4
2018,Northern,Vavuniya,45900,1.91,876,2.14,1.68,0.9,90.8,85.7
2018,Northern,Mullaitivu,28560,3.64,1039,4.08,3.2,1.6,82.5,72.7
2018,Eastern,Batticaloa,137700,3.46,4764,3.88,3.04,1.59,83.4,74.0
2018,Eastern,Ampara,158100,2.4,3794,2.69,2.11,1.1,88.5,82.0
2018,Eastern,Trincomalee,96900,2.85,2761,3.19,2.51,1.26,86.3,78.6
2018,North Western,Kurunegala,362100,1.63,5902,1.83,1.43,0.7,92.2,87.8
2018,North Western,Puttalam,168300,2.61,4392,2.92,2.3,1.23,87.5,80.4
2018,North Central,Anuradhapura,198900,1.94,3858,2.17,1.71,0.92,90.7,85.5
2018,North Central,Polonnaruwa,96900,1.98,1918,2.22,1.74,0.91,90.5,85.2
2018,Uva,Badulla,178500,3.2,5712,3.58,2.82,1.45,84.6,76.0
2018,Uva,Monaragala,112200,3.39,3803,3.8,2.98,1.54,83.7,74.6
2018,Sabaragamuwa,Ratnapura,239700,2.6,6232,2.91,2.29,1.16,87.5,80.5
2018,Sabaragamuwa,Kegalle,168300,1.88,3164,2.11,1.65,0.82,91.0,85.9
2019,Western,Colombo,384374,0.73,2805,0.82,0.64,0.38,96.5,94.5
2019,Western,Gampaha,353624,0.95,3359,1.06,0.84,0.41,95.4,92.9
2019,Western,Kalutara,220374,1.14,2512,1.28,1.0,0.53,94.5,91.5
2019,Central,Kandy,281875,1.61,4538,1.8,1.42,0.68,92.3,87.9
2019,Central,Matale,107624,2.05,2206,2.3,1.8,0.93,90.2,84.6
2019,Central,Nuwara Eliya,169124,3.69,6240,4.13,3.25,1.68,82.3,72.3
2019,Southern,Galle,230624,0.96,2213,1.08,0.84,0.48,95.4,92.8
2019,Southern,Matara,179374,1.16,2080,1.3,1.02,0.49,94.4,91.3
2019,Southern,Hambantota,138375,1.75,2421,1.96,1.54,0.71,91.6,86.9
2019,Northern,Jaffna,128124,1.28,1639,1.43,1.13,0.59,93.9,90.4
2019,Northern,Kilinochchi,38950,3.36,1308,3.76,2.96,1.44,83.9,74.8
2019,Northern,Mannar,32800,2.58,846,2.89,2.27,1.13,87.6,80.7
2019,Northern,Vavuniya,46124,1.84,848,2.06,1.62,0.86,91.2,86.2
2019,Northern,Mullaitivu,28699,3.56,1021,3.99,3.13,1.58,82.9,73.3
2019,Eastern,Batticaloa,138375,3.42,4732,3.83,3.01,1.53,83.6,74.3
2019,Eastern,Ampara,158875,2.39,3797,2.68,2.1,1.09,88.5,82.1
2019,Eastern,Trincomalee,97374,2.87,2794,3.21,2.53,1.22,86.2,78.5
2019,North Western,Kurunegala,363874,1.59,5785,1.78,1.4,0.61,92.4,88.1
2019,North Western,Puttalam,169124,2.65,4481,2.97,2.33,1.21,87.3,80.1
2019,North Central,Anuradhapura,199874,1.95,3897,2.18,1.72,0.85,90.6,85.4
2019,North Central,Polonnaruwa,97374,1.97,1918,2.21,1.73,0.88,90.5,85.2
2019,Uva,Badulla,179374,3.08,5524,3.45,2.71,1.42,85.2,76.9
2019,Uva,Monaragala,112749,3.39,3822,3.8,2.98,1.5,83.7,74.6
2019,Sabaragamuwa,Ratnapura,240874,2.61,6286,2.92,2.3,1.16,87.5,80.4
2019,Sabaragamuwa,Kegalle,169124,1.8,3044,2.02,1.58,0.81,91.4,86.5
2020,Western,Colombo,386250,0.71,2742,0.8,0.62,0.32,96.6,94.7
2020,Western,Gampaha,355350,0.84,2984,0.94,0.74,0.38,96.0,93.7
2020,Western,Kalutara,221450,1.15,2546,1.29,1.01,0.52,94.5,91.4
2020,Central,Kandy,283250,1.53,4333,1.71,1.35,0.64,92.7,88.5
2020,Central,Matale,108150,1.94,2098,2.17,1.71,0.85,90.7,85.5
2020,Central,Nuwara Eliya,169950,3.52,5982,3.94,3.1,1.62,83.1,73.6
2020,Southern,Galle,231750,1.1,2549,1.23,0.97,0.5,94.7,91.8
2020,Southern,Matara,180250,1.17,2108,1.31,1.03,0.5,94.4,91.2
2020,Southern,Hambantota,139050,1.61,2238,1.8,1.42,0.7,92.3,87.9
2020,Northern,Jaffna,128750,1.25,1609,1.4,1.1,0.55,94.0,90.6
2020,Northern,Kilinochchi,39140,3.11,1217,3.48,2.74,1.41,85.1,76.7
2020,Northern,Mannar,32960,2.34,771,2.62,2.06,1.13,88.8,82.5
2020,Northern,Vavuniya,46350,1.73,801,1.94,1.52,0.77,91.7,87.0
2020,Northern,Mullaitivu,28840,3.42,986,3.83,3.01,1.53,83.6,74.3
2020,Eastern,Batticaloa,139050,3.26,4533,3.65,2.87,1.47,84.4,75.5
2020,Eastern,Ampara,159650,2.25,3592,2.52,1.98,0.99,89.2,83.1
2020,Eastern,Trincomalee,97850,2.64,2583,2.96,2.32,1.17,87.3,80.2
2020,North Western,Kurunegala,365650,1.45,5301,1.62,1.28,0.63,93.0,89.1
2020,North Western,Puttalam,169950,2.47,4197,2.77,2.17,1.12,88.1,81.5
2020,North Central,Anuradhapura,200850,1.85,3715,2.07,1.63,0.81,91.1,86.1
2020,North Central,Polonnaruwa,97850,1.83,1790,2.05,1.61,0.85,91.2,86.3
2020,Uva,Badulla,180250,2.94,5299,3.29,2.59,1.3,85.9,78.0
2020,Uva,Monaragala,113300,3.16,3580,3.54,2.78,1.44,84.8,76.3
2020,Sabaragamuwa,Ratnapura,242050,2.35,5688,2.63,2.07,1.05,88.7,82.4
2020,Sabaragamuwa,Kegalle,169950,1.62,2753,1.81,1.43,0.74,92.2,87.8
2021,Western,Colombo,388124,0.72,2794,0.81,0.63,0.36,96.5,94.6
2021,Western,Gampaha,357075,0.79,2820,0.88,0.7,0.33,96.2,94.1
2021,Western,Kalutara,222524,1.08,2403,1.21,0.95,0.46,94.8,91.9
2021,Central,Kandy,284625,1.38,3927,1.55,1.21,0.61,93.4,89.7
2021,Central,Matale,108674,1.82,1977,2.04,1.6,0.79,91.3,86.3
2021,Central,Nuwara Eliya,170775,3.35,5720,3.75,2.95,1.54,83.9,74.9
2021,Southern,Galle,232874,0.99,2305,1.11,0.87,0.46,95.2,92.6
2021,Southern,Matara,181125,1.07,1938,1.2,0.94,0.46,94.9,92.0
2021,Southern,Hambantota,139725,1.49,2081,1.67,1.31,0.67,92.8,88.8
2021,Northern,Jaffna,129374,1.16,1500,1.3,1.02,0.5,94.4,91.3
2021,Northern,Kilinochchi,39330,2.92,1148,3.27,2.57,1.33,86.0,78.1
2021,Northern,Mannar,33120,2.31,765,2.59,2.03,1.04,88.9,82.7
2021,Northern,Vavuniya,46575,1.79,833,2.0,1.58,0.73,91.4,86.6
2021,Northern,Mullaitivu,28979,3.2,927,3.58,2.82,1.43,84.6,76.0
2021,Eastern,Batticaloa,139725,3.15,4401,3.53,2.77,1.34,84.9,76.4
2021,Eastern,Ampara,160425,2.08,3336,2.33,1.83,0.94,90.0,84.4
2021,Eastern,Trincomalee,98324,2.37,2330,2.65,2.09,1.1,88.6,82.2
2021,North Western,Kurunegala,367425,1.28,4703,1.43,1.13,0.6,93.9,90.4
2021,North Western,Puttalam,170775,2.38,4064,2.67,2.09,1.12,88.6,82.2
2021,North Central,Anuradhapura,201824,1.77,3572,1.98,1.56,0.76,91.5,86.7
2021,North Central,Polonnaruwa,98324,1.72,1691,1.93,1.51,0.81,91.7,87.1
2021,Uva,Badulla,181125,2.69,4872,3.01,2.37,1.3,87.1,79.8
2021,Uva,Monaragala,113849,3.06,3483,3.43,2.69,1.34,85.3,77.0
2021,Sabaragamuwa,Ratnapura,243224,2.19,5326,2.45,1.93,1.07,89.5,83.6
2021,Sabaragamuwa,Kegalle,170775,1.55,2647,1.74,1.36,0.74,92.6,88.4
2022,Western,Colombo,390000,1.22,4758,1.37,1.07,0.57,94.1,90.8
2022,Western,Gampaha,358800,1.39,4987,1.56,1.22,0.63,93.3,89.6
2022,Western,Kalutara,223600,1.98,4427,2.22,1.74,0.92,90.5,85.2
2022,Central,Kandy,286000,2.87,8208,3.21,2.53,1.14,86.2,78.5
2022,Central,Matale,109200,3.84,4193,4.3,3.38,1.51,81.6,71.2
2022,Central,Nuwara Eliya,171600,7.1,12183,7.95,6.25,2.73,75.0,60.0
2022,Southern,Galle,234000,1.77,4141,1.98,1.56,0.87,91.5,86.7
2022,Southern,Matara,182000,1.94,3530,2.17,1.71,0.84,90.7,85.5
2022,Southern,Hambantota,140400,2.82,3959,3.16,2.48,1.24,86.5,78.8
2022,Northern,Jaffna,130000,2.2,2860,2.46,1.94,0.97,89.4,83.5
2022,Northern,Kilinochchi,39520,5.51,2177,6.17,4.85,2.48,75.0,60.0
2022,Northern,Mannar,33280,4.13,1374,4.63,3.63,1.89,80.2,69.0
2022,Northern,Vavuniya,46800,3.14,1469,3.52,2.76,1.44,84.9,76.5
2022,Northern,Mullaitivu,29120,5.8,1688,6.5,5.1,2.65,75.0,60.0
2022,Eastern,Batticaloa,140400,5.68,7974,6.36,5.0,2.48,75.0,60.0
2022,Eastern,Ampara,161200,3.86,6222,4.32,3.4,1.7,81.5,71.0
2022,Eastern,Trincomalee,98800,4.57,4515,5.12,4.02,2.09,78.1,65.7
2022,North Western,Kurunegala,369200,2.52,9303,2.82,2.22,1.1,87.9,81.1
2022,North Western,Puttalam,171600,4.45,7636,4.98,3.92,1.92,78.6,66.6
2022,North Central,Anuradhapura,202800,3.1,6286,3.47,2.73,1.43,85.1,76.8
2022,North Central,Polonnaruwa,98800,3.28,3240,3.67,2.89,1.46,84.3,75.4
2022,Uva,Badulla,182000,5.77,10501,6.46,5.08,2.3,75.0,60.0
2022,Uva,Monaragala,114400,5.48,6269,6.14,4.82,2.52,75.0,60.0
2022,Sabaragamuwa,Ratnapura,244400,4.87,11902,5.45,4.29,1.87,76.6,63.5
2022,Sabaragamuwa,Kegalle,171600,3.29,5645,3.68,2.9,1.27,84.2,75.3
2023,Western,Colombo,391875,1.21,4741,1.36,1.06,0.58,94.2,90.9
2023,Western,Gampaha,360525,1.25,4506,1.4,1.1,0.6,94.0,90.6
2023,Western,Kalutara,224674,1.84,4134,2.06,1.62,0.81,91.2,86.2
2023,Central,Kandy,287375,2.72,7816,3.05,2.39,1.04,86.9,79.6
2023,Central,Matale,109724,3.54,3884,3.96,3.12,1.36,83.0,73.5
2023,Central,Nuwara Eliya,172425,6.68,11517,7.48,5.88,2.58,75.0,60.0
2023,Southern,Galle,235124,1.69,3973,1.89,1.49,0.78,91.9,87.3
2023,Southern,Matara,182875,1.79,3273,2.0,1.58,0.8,91.4,86.6
2023,Southern,Hambantota,141075,2.58,3639,2.89,2.27,1.17,87.6,80.7
2023,Northern,Jaffna,130624,1.97,2573,2.21,1.73,0.88,90.5,85.2
2023,Northern,Kilinochchi,39710,5.02,1993,5.62,4.42,2.2,75.9,62.4
2023,Northern,Mannar,33440,3.79,1267,4.24,3.34,1.78,81.8,71.6
2023,Northern,Vavuniya,47025,2.98,1401,3.34,2.62,1.3,85.7,77.7
2023,Northern,Mullaitivu,29259,5.48,1603,6.14,4.82,2.46,75.0,60.0
2023,Eastern,Batticaloa,141075,5.4,7618,6.05,4.75,2.39,75.0,60.0
2023,Eastern,Ampara,161975,3.65,5912,4.09,3.21,1.62,82.5,72.6
2023,Eastern,Trincomalee,99275,4.2,4169,4.7,3.7,1.93,79.8,68.5
2023,North Western,Kurunegala,370975,2.24,8309,2.51,1.97,0.98,89.2,83.2
2023,North Western,Puttalam,172425,4.04,6965,4.52,3.56,1.8,80.6,69.7
2023,North Central,Anuradhapura,203775,3.05,6215,3.42,2.68,1.36,85.4,77.1
2023,North Central,Polonnaruwa,99275,3.04,3017,3.4,2.68,1.41,85.4,77.2
2023,Uva,Badulla,182875,5.48,10021,6.14,4.82,2.12,75.0,60.0
2023,Uva,Monaragala,114949,5.25,6034,5.88,4.62,2.34,75.0,60.6
2023,Sabaragamuwa,Ratnapura,245574,4.47,10977,5.01,3.93,1.76,78.5,66.5
2023,Sabaragamuwa,Kegalle,172425,3.05,5258,3.42,2.68,1.17,85.4,77.1
2024,Western,Colombo,393750,1.01,3976,1.13,0.89,0.49,95.2,92.4
2024,Western,Gampaha,362250,0.96,3477,1.08,0.84,0.48,95.4,92.8
2024,Western,Kalutara,225750,1.45,3273,1.62,1.28,0.65,93.0,89.1
2024,Central,Kandy,288750,1.86,5370,2.08,1.64,0.83,91.1,86.0
2024,Central,Matale,110250,2.48,2734,2.78,2.18,1.09,88.1,81.4
2024,Central,Nuwara Eliya,173250,4.58,7934,5.13,4.03,2.05,78.0,65.7
2024,Southern,Galle,236250,1.36,3213,1.52,1.2,0.59,93.5,89.8
2024,Southern,Matara,183750,1.4,2572,1.57,1.23,0.67,93.3,89.5
2024,Southern,Hambantota,141750,2.06,2920,2.31,1.81,0.89,90.1,84.5
2024,Northern,Jaffna,131250,1.6,2100,1.79,1.41,0.74,92.3,88.0
2024,Northern,Kilinochchi,39900,3.93,1568,4.4,3.46,1.82,81.1,70.5
2024,Northern,Mannar,33600,3.05,1024,3.42,2.68,1.4,85.4,77.1
2024,Northern,Vavuniya,47250,2.27,1072,2.54,2.0,0.99,89.1,83.0
2024,Northern,Mullaitivu,29400,4.26,1252,4.77,3.75,1.96,79.6,68.0
2024,Eastern,Batticaloa,141750,4.19,5939,4.69,3.69,1.85,79.9,68.6
2024,Eastern,Ampara,162750,2.95,4801,3.3,2.6,1.26,85.8,77.9
2024,Eastern,Trincomalee,99750,3.41,3401,3.82,3.0,1.5,83.6,74.4
2024,North Western,Kurunegala,372750,1.78,6634,1.99,1.57,0.82,91.5,86.7
2024,North Western,Puttalam,173250,3.2,5544,3.58,2.82,1.45,84.6,76.0
2024,North Central,Anuradhapura,204750,2.42,4954,2.71,2.13,1.05,88.4,81.8
2024,North Central,Polonnaruwa,99750,2.46,2453,2.76,2.16,1.06,88.2,81.5
2024,Uva,Badulla,183750,3.82,7019,4.28,3.36,1.75,81.7,71.3
2024,Uva,Monaragala,115500,4.0,4620,4.48,3.52,1.83,80.8,70.0
2024,Sabaragamuwa,Ratnapura,246750,3.16,7797,3.54,2.78,1.4,84.8,76.3
2024,Sabaragamuwa,Kegalle,173250,2.16,3742,2.42,1.9,0.95,89.6,83.8
