year,province,district,total_enrolment,dropout_rate_pct,dropout_count,male_dropout_rate_pct,female_dropout_rate_pct,repetition_rate_pct,retention_rate_g1_g9_pct,retention_rate_g1_g11_pct,poverty_headcount_pct,estate_pop_pct,median_hh_income_lkr,pct_1ab_schools,student_teacher_ratio,pct_schools_with_computer_labs,pct_schools_with_sanitation,pct_tamil_medium_schools,roads_access_index,gender_dropout_gap,pre_crisis_baseline_rate,crisis_surge_ratio,infrastructure_deficit_index
2015,Uva,Badulla,175874,3.41,5997,3.82,3.0,1.54,83.6,74.4,6.8,19.2,42800,5.8,16.8,42.5,75.8,36.5,59.0,0.82,3.08,1.11,51.56
2016,Uva,Badulla,176750,3.23,5709,3.62,2.84,1.5,84.5,75.8,6.8,19.2,42800,5.8,16.8,42.5,75.8,36.5,59.0,0.78,3.08,1.05,51.56
2017,Uva,Badulla,177624,3.25,5772,3.64,2.86,1.42,84.4,75.6,6.8,19.2,42800,5.8,16.8,42.5,75.8,36.5,59.0,0.78,3.08,1.06,51.56
2018,Uva,Badulla,178500,3.2,5712,3.58,2.82,1.45,84.6,76.0,6.8,19.2,42800,5.8,16.8,42.5,75.8,36.5,59.0,0.76,3.08,1.04,51.56
2019,Uva,Badulla,179374,3.08,5524,3.45,2.71,1.42,85.2,76.9,6.8,19.2,42800,5.8,16.8,42.5,75.8,36.5,59.0,0.74,3.08,1.0,51.56
2020,Uva,Badulla,180250,2.94,5299,3.29,2.59,1.3,85.9,78.0,6.8,19.2,42800,5.8,16.8,42.5,75.8,36.5,59.0,0.7,3.08,0.95,51.56
2021,Uva,Badulla,181125,2.69,4872,3.01,2.37,1.3,87.1,79.8,6.8,19.2,42800,5.8,16.8,42.5,75.8,36.5,59.0,0.64,3.08,0.87,51.56
2022,Uva,Badulla,182000,5.77,10501,6.46,5.08,2.3,75.0,60.0,6.8,19.2,42800,5.8,16.8,42.5,75.8,36.5,59.0,1.38,3.08,1.87,51.56
2023,Uva,Badulla,182875,5.48,10021,6.14,4.82,2.12,75.0,60.0,6.8,19.2,42800,5.8,16.8,42.5,75.8,36.5,59.0,1.32,3.08,1.78,51.56
2024,Uva,Badulla,183750,3.82,7019,4.28,3.36,1.75,81.7,71.3,6.8,19.2,42800,5.8,16.8,42.5,75.8,36.5,59.0,0.92,3.08,1.24,51.56
2014,Eastern,Batticaloa,135000,3.96,5345,4.44,3.48,1.79,81.0,70.3,11.3,0.0,41200,6.5,17.9,41.2,76.5,97.4,67.5,0.96,3.42,1.16,50.82
2015,Eastern,Batticaloa,135675,3.8,5155,4.26,3.34,1.65,81.8,71.5,11.3,0.0,41200,6.5,17.9,41.2,76.5,97.4,67.5,0.92,3.42,1.11,50.82
2016,Eastern,Batticaloa,136350,3.65,4976,4.09,3.21,1.63,82.5,72.6,11.3,0.0,41200,6.5,17.9,41.2,76.5,97.4,67.5,0.88,3.42,1.07,50.82
2017,Eastern,Batticaloa,137025,3.56,4878,3.99,3.13,1.69,82.9,73.3,11.3,0.0,41200,6.5,17.9,41.2,76.5,97.4,67.5,0.86,3.42,1.04,50.82
2018,Eastern,Batticaloa,137700,3.46,4764,3.88,3.04,1.59,83.4,74.0,11.3,0.0,41200,6.5,17.9,41.2,76.5,97.4,67.5,0.84,3.42,1.01,50.82
2019,Eastern,Batticaloa,138375,3.42,4732,3.83,3.01,1.53,83.6,74.3,11.3,0.0,41200,6.5,17.9,41.2,76.5,97.4,67.5,0.82,3.42,1.0,50.82
2020,Eastern,Batticaloa,139050,3.26,4533,3.65,2.87,1.47,84.4,75.5,11.3,0.0,41200,6.5,17.9,41.2,76.5,97.4,67.5,0.78,3.42,0.95,50.82
2021,Eastern,Batticaloa,139725,3.15,4401,3.53,2.77,1.34,84.9,76.4,11.3,0.0,41200,6.5,17.9,41.2,76.5,97.4,67.5,0.76,3.42,0.92,50.82
2022,Eastern,Batticaloa,140400,5.68,7974,6.36,5.0,2.48,75.0,60.0,11.3,0.0,41200,6.5,17.9,41.2,76.5,97.4,67.5,1.36,3.42,1.66,50.82
2023,Eastern,Batticaloa,141075,5.4,7618,6.05,4.75,2.39,75.0,60.0,11.3,0.0,41200,6.5,17.9,41.2,76.5,97.4,67.5,1.3,3.42,1.58,50.82
2024,Eastern,Batticaloa,141750,4.19,5939,4.69,3.69,1.85,79.9,68.6,11.3,0.0,41200,6.5,17.9,41.2,76.5,97.4,67.5,1.0,3.42,1.23,50.82
2014,Western,Colombo,375000,0.95,3562,1.06,0.84,0.41,95.4,92.9,1.8,0.1,86200,16.5,21.2,84.5,97.2,8.4,92.0,0.22,0.73,1.3,12.29
2015,Western,Colombo,376874,0.9,3391,1.01,0.79,0.38,95.7,93.2,1.8,0.1,86200,16.5,21.2,84.5,97.2,8.4,92.0,0.22,0.73,1.23,12.29
2016,Western,Colombo,378750,0.77,2916,0.86,0.68,0.37,96.3,94.2,1.8,0.1,86200,16.5,21.2,84.5,97.2,8.4,92.0,0.18,0.73,1.05,12.29
2017,Western,Colombo,380624,0.84,3197,0.94,0.74,0.38,96.0,93.7,1.8,0.1,86200,16.5,21.2,84.5,97.2,8.4,92.0,0.2,0.73,1.15,12.29
2018,Western,Colombo,382500,0.83,3174,0.93,0.73,0.38,96.0,93.8,1.8,0.1,86200,16.5,21.2,84.5,97.2,8.4,92.0,0.2,0.73,1.14,12.29
2019,Western,Colombo,384374,0.73,2805,0.82,0.64,0.38,96.5,94.5,1.8,0.1,86200,16.5,21.2,84.5,97.2,8.4,92.0,0.18,0.73,1.0,12.29
2020,Western,Colombo,386250,0.71,2742,0.8,0.62,0.32,96.6,94.7,1.8,0.1,86200,16.5,21.2,84.5,97.2,8.4,92.0,0.18,0.73,0.97,12.29
2021,Western,Colombo,388124,0.72,2794,0.81,0.63,0.36,96.5,94.6,1.8,0.1,86200,16.5,21.2,84.5,97.2,8.4,92.0,0.18,0.73,0.99,12.29
2022,Western,Colombo,390000,1.22,4758,1.37,1.07,0.57,94.1,90.8,1.8,0.1,86200,16.5,21.2,84.5,97.2,8.4,92.0,0.3,0.73,1.67,12.29
2023,Western,Colombo,391875,1.21,4741,1.36,1.06,0.58,94.2,90.9,1.8,0.1,86200,16.5,21.2,84.5,97.2,8.4,92.0,0.3,0.73,1.66,12.29
2024,Western,Colombo,393750,1.01,3976,1.13,0.89,0.49,95.2,92.4,1.8,0.1,86200,16.5,21.2,84.5,97.2,8.4,92.0,0.24,0.73,1.38,12.29
2014,Southern,Galle,225000,1.32,2970,1.48,1.16,0.53,93.7,90.1,3.8,1.2,62300,11.8,19.1,69.5,93.4,3.8,84.0,0.32,0.96,1.38,26.48
2015,Southern,Galle,226124,1.19,2690,1.33,1.05,0.53,94.3,91.1,3.8,1.2,62300,11.8,19.1,69.5,93.4,3.8,84.0,0.28,0.96,1.24,26.48
2016,Southern,Galle,227250,1.2,2727,1.34,1.06,0.61,94.2,91.0,3.8,1.2,62300,11.8,19.1,69.5,93.4,3.8,84.0,0.28,0.96,1.25,26.48
2017,Southern,Galle,228374,1.23,2809,1.38,1.08,0.5,94.1,90.8,3.8,1.2,62300,11.8,19.1,69.5,93.4,3.8,84.0,0.3,0.96,1.28,26.48
2018,Southern,Galle,229500,1.2,2754,1.34,1.06,0.54,94.2,91.0,3.8,1.2,62300,11.8,19.1,69.5,93.4,3.8,84.0,0.28,0.96,1.25,26.48
2019,Southern,Galle,230624,0.96,2213,1.08,0.84,0.48,95.4,92.8,3.8,1.2,62300,11.8,19.1,69.5,93.4,3.8,84.0,0.24,0.96,1.0,26.48
2020,Southern,Galle,231750,1.1,2549,1.23,0.97,0.5,94.7,91.8,3.8,1.2,62300,11.8,19.1,69.5,93.4,3.8,84.0,0.26,0.96,1.15,26.48
2021,Southern,Galle,232874,0.99,2305,1.11,0.87,0.46,95.2,92.6,3.8,1.2,62300,11.8,19.1,69.5,93.4,3.8,84.0,0.24,0.96,1.03,26.48
2022,Southern,Galle,234000,1.77,4141,1.98,1.56,0.87,91.5,86.7,3.8,1.2,62300,11.8,19.1,69.5,93.4,3.8,84.0,0.42,0.96,1.84,26.48
2023,Southern,Galle,235124,1.69,3973,1.89,1.49,0.78,91.9,87.3,3.8,1.2,62300,11.8,19.1,69.5,93.4,3.8,84.0,0.4,0.96,1.76,26.48
2024,Southern,Galle,236250,1.36,3213,1.52,1.2,0.59,93.5,89.8,3.8,1.2,62300,11.8,19.1,69.5,93.4,3.8,84.0,0.32,0.96,1.42,26.48
2014,Western,Gampaha,345000,1.02,3519,1.14,0.9,0.49,95.1,92.3,1.5,0.0,78500,13.2,20.8,78.2,96.5,2.1,89.5,0.24,0.95,1.07,19.97
2015,Western,Gampaha,346724,0.91,3155,1.02,0.8,0.44,95.6,93.2,1.5,0.0,78500,13.2,20.8,78.2,96.5,2.1,89.5,0.22,0.95,0.96,19.97
2016,Western,Gampaha,348450,0.89,3101,1.0,0.78,0.38,95.7,93.3,1.5,0.0,78500,13.2,20.8,78.2,96.5,2.1,89.5,0.22,0.95,0.94,19.97
2017,Western,Gampaha,350174,0.85,2976,0.95,0.75,0.4,95.9,93.6,1.5,0.0,78500,13.2,20.8,78.2,96.5,2.1,89.5,0.2,0.95,0.89,19.97
2018,Western,Gampaha,351900,0.92,3237,1.03,0.81,0.42,95.6,93.1,1.5,0.0,78500,13.2,20.8,78.2,96.5,2.1,89.5,0.22,0.95,0.97,19.97
2019,Western,Gampaha,353624,0.95,3359,1.06,0.84,0.41,95.4,92.9,1.5,0.0,78500,13.2,20.8,78.2,96.5,2.1,89.5,0.22,0.95,1.0,19.97
2020,Western,Gampaha,355350,0.84,2984,0.94,0.74,0.38,96.0,93.7,1.5,0.0,78500,13.2,20.8,78.2,96.5,2.1,89.5,0.2,0.95,0.88,19.97
2021,Western,Gampaha,357075,0.79,2820,0.88,0.7,0.33,96.2,94.1,1.5,0.0,78500,13.2,20.8,78.2,96.5,2.1,89.5,0.18,0.95,0.83,19.97
2022,Western,Gampaha,358800,1.39,4987,1.56,1.22,0.63,93.3,89.6,1.5,0.0,78500,13.2,20.8,78.2,96.5,2.1,89.5,0.34,0.95,1.46,19.97
2023,Western,Gampaha,360525,1.25,4506,1.4,1.1,0.6,94.0,90.6,1.5,0.0,78500,13.2,20.8,78.2,96.5,2.1,89.5,0.3,0.95,1.32,19.97
2024,Western,Gampaha,362250,0.96,3477,1.08,0.84,0.48,95.4,92.8,1.5,0.0,78500,13.2,20.8,78.2,96.5,2.1,89.5,0.24,0.95,1.01,19.97
2014,Southern,Hambantota,135000,1.89,2551,2.12,1.66,0.88,90.9,85.8,4.9,0.1,54200,9.2,17.5,58.6,87.2,2.5,77.0,0.46,1.75,1.08,36.6
2015,Southern,Hambantota,135675,1.85,2509,2.07,1.63,0.86,91.1,86.1,4.9,0.1,54200,9.2,17.5,58.6,87.2,2.5,77.0,0.44,1.75,1.06,36.6
2016,Southern,Hambantota,136350,1.77,2413,1.98,1.56,0.76,91.5,86.7,4.9,0.1,54200,9.2,17.5,58.6,87.2,2.5,77.0,0.42,1.75,1.01,36.6
2017,Southern,Hambantota,137025,1.78,2439,1.99,1.57,0.84,91.5,86.7,4.9,0.1,54200,9.2,17.5,58.6,87.2,2.5,77.0,0.42,1.75,1.02,36.6
2018,Southern,Hambantota,137700,1.66,2285,1.86,1.46,0.76,92.0,87.5,4.9,0.1,54200,9.2,17.5,58.6,87.2,2.5,77.0,0.4,1.75,0.95,36.6
2019,Southern,Hambantota,138375,1.75,2421,1.96,1.54,0.71,91.6,86.9,4.9,0.1,54200,9.2,17.5,58.6,87.2,2.5,77.0,0.42,1.75,1.0,36.6
2020,Southern,Hambantota,139050,1.61,2238,1.8,1.42,0.7,92.3,87.9,4.9,0.1,54200,9.2,17.5,58.6,87.2,2.5,77.0,0.38,1.75,0.92,36.6
2021,Southern,Hambantota,139725,1.49,2081,1.67,1.31,0.67,92.8,88.8,4.9,0.1,54200,9.2,17.5,58.6,87.2,2.5,77.0,0.36,1.75,0.85,36.6
2022,Southern,Hambantota,140400,2.82,3959,3.16,2.48,1.24,86.5,78.8,4.9,0.1,54200,9.2,17.5,58.6,87.2,2.5,77.0,0.68,1.75,1.61,36.6
2023,Southern,Hambantota,141075,2.58,3639,2.89,2.27,1.17,87.6,80.7,4.9,0.1,54200,9.2,17.5,58.6,87.2,2.5,77.0,0.62,1.75,1.47,36.6
2024,Southern,Hambantota,141750,2.06,2920,2.31,1.81,0.89,90.1,84.5,4.9,0.1,54200,9.2,17.5,58.6,87.2,2.5,77.0,0.5,1.75,1.18,36.6
2014,Northern,Jaffna,125000,1.48,1850,1.66,1.3,0.64,92.9,88.9,5.8,0.0,51500,12.1,16.4,63.8,89.5,98.5,79.0,0.36,1.28,1.16,29.48
2015,Northern,Jaffna,125624,1.47,1846,1.65,1.29,0.63,92.9,89.0,5.8,0.0,51500,12.1,16.4,63.8,89.5,98.5,79.0,0.36,1.28,1.15,29.48
2016,Northern,Jaffna,126250,1.45,1830,1.62,1.28,0.65,93.0,89.1,5.8,0.0,51500,12.1,16.4,63.8,89.5,98.5,79.0,0.34,1.28,1.13,29.48
2017,Northern,Jaffna,126874,1.35,1712,1.51,1.19,0.59,93.5,89.9,5.8,0.0,51500,12.1,16.4,63.8,89.5,98.5,79.0,0.32,1.28,1.05,29.48
2018,Northern,Jaffna,127500,1.31,1670,1.47,1.15,0.6,93.7,90.2,5.8,0.0,51500,12.1,16.4,63.8,89.5,98.5,79.0,0.32,1.28,1.02,29.48
2019,Northern,Jaffna,128124,1.28,1639,1.43,1.13,0.59,93.9,90.4,5.8,0.0,51500,12.1,16.4,63.8,89.5,98.5,79.0,0.3,1.28,1.0,29.48
2020,Northern,Jaffna,128750,1.25,1609,1.4,1.1,0.55,94.0,90.6,5.8,0.0,51500,12.1,16.4,63.8,89.5,98.5,79.0,0.3,1.28,0.98,29.48
2021,Northern,Jaffna,129374,1.16,1500,1.3,1.02,0.5,94.4,91.3,5.8,0.0,51500,12.1,16.4,63.8,89.5,98.5,79.0,0.28,1.28,0.91,29.48
2022,Northern,Jaffna,130000,2.2,2860,2.46,1.94,0.97,89.4,83.5,5.8,0.0,51500,12.1,16.4,63.8,89.5,98.5,79.0,0.52,1.28,1.72,29.48
2023,Northern,Jaffna,130624,1.97,2573,2.21,1.73,0.88,90.5,85.2,5.8,0.0,51500,12.1,16.4,63.8,89.5,98.5,79.0,0.48,1.28,1.54,29.48
2024,Northern,Jaffna,131250,1.6,2100,1.79,1.41,0.74,92.3,88.0,5.8,0.0,51500,12.1,16.4,63.8,89.5,98.5,79.0,0.38,1.28,1.25,29.48
2014,Western,Kalutara,215000,1.41,3031,1.58,1.24,0.63,93.2,89.4,3.2,2.4,66400,11.0,19.5,68.4,92.8,6.8,82.0,0.34,1.14,1.24,28.3
2015,Western,Kalutara,216074,1.4,3025,1.57,1.23,0.64,93.3,89.5,3.2,2.4,66400,11.0,19.5,68.4,92.8,6.8,82.0,0.34,1.14,1.23,28.3
2016,Western,Kalutara,217150,1.29,2801,1.44,1.14,0.6,93.8,90.3,3.2,2.4,66400,11.0,19.5,68.4,92.8,6.8,82.0,0.3,1.14,1.13,28.3
2017,Western,Kalutara,218224,1.28,2793,1.43,1.13,0.55,93.9,90.4,3.2,2.4,66400,11.0,19.5,68.4,92.8,6.8,82.0,0.3,1.14,1.12,28.3
2018,Western,Kalutara,219300,1.17,2565,1.31,1.03,0.53,94.4,91.2,3.2,2.4,66400,11.0,19.5,68.4,92.8,6.8,82.0,0.28,1.14,1.03,28.3
2019,Western,Kalutara,220374,1.14,2512,1.28,1.0,0.53,94.5,91.5,3.2,2.4,66400,11.0,19.5,68.4,92.8,6.8,82.0,0.28,1.14,1.0,28.3
2020,Western,Kalutara,221450,1.15,2546,1.29,1.01,0.52,94.5,91.4,3.2,2.4,66400,11.0,19.5,68.4,92.8,6.8,82.0,0.28,1.14,1.01,28.3
2021,Western,Kalutara,222524,1.08,2403,1.21,0.95,0.46,94.8,91.9,3.2,2.4,66400,11.0,19.5,68.4,92.8,6.8,82.0,0.26,1.14,0.95,28.3
2022,Western,Kalutara,223600,1.98,4427,2.22,1.74,0.92,90.5,85.2,3.2,2.4,66400,11.0,19.5,68.4,92.8,6.8,82.0,0.48,1.14,1.74,28.3
2023,Western,Kalutara,224674,1.84,4134,2.06,1.62,0.81,91.2,86.2,3.2,2.4,66400,11.0,19.5,68.4,92.8,6.8,82.0,0.44,1.14,1.61,28.3
2024,Western,Kalutara,225750,1.45,3273,1.62,1.28,0.65,93.0,89.1,3.2,2.4,66400,11.0,19.5,68.4,92.8,6.8,82.0,0.34,1.14,1.27,28.3
2014,Central,Kandy,275000,1.88,5169,2.11,1.65,0.84,91.0,85.9,5.5,6.3,59800,10.4,18.2,62.1,88.4,24.5,76.5,0.46,1.61,1.17,33.04
2015,Central,Kandy,276374,1.68,4643,1.88,1.48,0.76,91.9,87.4,5.5,6.3,59800,10.4,18.2,62.1,88.4,24.5,76.5,0.4,1.61,1.04,33.04
2016,Central,Kandy,277750,1.75,4860,1.96,1.54,0.75,91.6,86.9,5.5,6.3,59800,10.4,18.2,62.1,88.4,24.5,76.5,0.42,1.61,1.09,33.04
2017,Central,Kandy,279125,1.71,4773,1.92,1.5,0.74,91.8,87.2,5.5,6.3,59800,10.4,18.2,62.1,88.4,24.5,76.5,0.42,1.61,1.06,33.04
2018,Central,Kandy,280500,1.61,4516,1.8,1.42,0.73,92.3,87.9,5.5,6.3,59800,10.4,18.2,62.1,88.4,24.5,76.5,0.38,1.61,1.0,33.04
2019,Central,Kandy,281875,1.61,4538,1.8,1.42,0.68,92.3,87.9,5.5,6.3,59800,10.4,18.2,62.1,88.4,24.5,76.5,0.38,1.61,1.0,33.04
2020,Central,Kandy,283250,1.53,4333,1.71,1.35,0.64,92.7,88.5,5.5,6.3,59800,10.4,18.2,62.1,88.4,24.5,76.5,0.36,1.61,0.95,33.04
2021,Central,Kandy,284625,1.38,3927,1.55,1.21,0.61,93.4,89.7,5.5,6.3,59800,10.4,18.2,62.1,88.4,24.5,76.5,0.34,1.61,0.86,33.04
2022,Central,Kandy,286000,2.87,8208,3.21,2.53,1.14,86.2,78.5,5.5,6.3,59800,10.4,18.2,62.1,88.4,24.5,76.5,0.68,1.61,1.78,33.04
2023,Central,Kandy,287375,2.72,7816,3.05,2.39,1.04,86.9,79.6,5.5,6.3,59800,10.4,18.2,62.1,88.4,24.5,76.5,0.66,1.61,1.69,33.04
2024,Central,Kandy,288750,1.86,5370,2.08,1.64,0.83,91.1,86.0,5.5,6.3,59800,10.4,18.2,62.1,88.4,24.5,76.5,0.44,1.61,1.16,33.04
2014,Sabaragamuwa,Kegalle,165000,2.06,3399,2.31,1.81,0.87,90.1,84.5,4.5,5.7,55400,9.0,17.8,59.2,88.0,12.4,74.0,0.5,1.8,1.14,36.42
2015,Sabaragamuwa,Kegalle,165824,1.95,3233,2.18,1.72,0.87,90.6,85.4,4.5,5.7,55400,9.0,17.8,59.2,88.0,12.4,74.0,0.46,1.8,1.08,36.42
2016,Sabaragamuwa,Kegalle,166650,1.9,3166,2.13,1.67,0.85,90.9,85.8,4.5,5.7,55400,9.0,17.8,59.2,88.0,12.4,74.0,0.46,1.8,1.06,36.42
2017,Sabaragamuwa,Kegalle,167474,1.84,3081,2.06,1.62,0.79,91.2,86.2,4.5,5.7,55400,9.0,17.8,59.2,88.0,12.4,74.0,0.44,1.8,1.02,36.42
2018,Sabaragamuwa,Kegalle,168300,1.88,3164,2.11,1.65,0.82,91.0,85.9,4.5,5.7,55400,9.0,17.8,59.2,88.0,12.4,74.0,0.46,1.8,1.04,36.42
2019,Sabaragamuwa,Kegalle,169124,1.8,3044,2.02,1.58,0.81,91.4,86.5,4.5,5.7,55400,9.0,17.8,59.2,88.0,12.4,74.0,0.44,1.8,1.0,36.42
2020,Sabaragamuwa,Kegalle,169950,1.62,2753,1.81,1.43,0.74,92.2,87.8,4.5,5.7,55400,9.0,17.8,59.2,88.0,12.4,74.0,0.38,1.8,0.9,36.42
2021,Sabaragamuwa,Kegalle,170775,1.55,2647,1.74,1.36,0.74,92.6,88.4,4.5,5.7,55400,9.0,17.8,59.2,88.0,12.4,74.0,0.38,1.8,0.86,36.42
2022,Sabaragamuwa,Kegalle,171600,3.29,5645,3.68,2.9,1.27,84.2,75.3,4.5,5.7,55400,9.0,17.8,59.2,88.0,12.4,74.0,0.78,1.8,1.83,36.42
2023,Sabaragamuwa,Kegalle,172425,3.05,5258,3.42,2.68,1.17,85.4,77.1,4.5,5.7,55400,9.0,17.8,59.2,88.0,12.4,74.0,0.74,1.8,1.69,36.42
2024,Sabaragamuwa,Kegalle,173250,2.16,3742,2.42,1.9,0.95,89.6,83.8,4.5,5.7,55400,9.0,17.8,59.2,88.0,12.4,74.0,0.52,1.8,1.2,36.42
2014,Northern,Kilinochchi,38000,3.91,1485,4.38,3.44,1.72,81.2,70.7,18.2,0.0,36200,5.4,16.0,35.8,74.2,99.0,58.5,0.94,3.36,1.16,55.32
2015,Northern,Kilinochchi,38189,3.67,1401,4.11,3.23,1.69,82.4,72.5,18.2,0.0,36200,5.4,16.0,35.8,74.2,99.0,58.5,0.88,3.36,1.09,55.32
2016,Northern,Kilinochchi,38380,3.54,1358,3.96,3.12,1.55,83.0,73.5,18.2,0.0,36200,5.4,16.0,35.8,74.2,99.0,58.5,0.84,3.36,1.05,55.32
2017,Northern,Kilinochchi,38569,3.39,1307,3.8,2.98,1.52,83.7,74.6,18.2,0.0,36200,5.4,16.0,35.8,74.2,99.0,58.5,0.82,3.36,1.01,55.32
2018,Northern,Kilinochchi,38760,3.47,1344,3.89,3.05,1.46,83.3,74.0,18.2,0.0,36200,5.4,16.0,35.8,74.2,99.0,58.5,0.84,3.36,1.03,55.32
2019,Northern,Kilinochchi,38950,3.36,1308,3.76,2.96,1.44,83.9,74.8,18.2,0.0,36200,5.4,16.0,35.8,74.2,99.0,58.5,0.8,3.36,1.0,55.32
2020,Northern,Kilinochchi,39140,3.11,1217,3.48,2.74,1.41,85.1,76.7,18.2,0.0,36200,5.4,16.0,35.8,74.2,99.0,58.5,0.74,3.36,0.93,55.32
2021,Northern,Kilinochchi,39330,2.92,1148,3.27,2.57,1.33,86.0,78.1,18.2,0.0,36200,5.4,16.0,35.8,74.2,99.0,58.5,0.7,3.36,0.87,55.32
2022,Northern,Kilinochchi,39520,5.51,2177,6.17,4.85,2.48,75.0,60.0,18.2,0.0,36200,5.4,16.0,35.8,74.2,99.0,58.5,1.32,3.36,1.64,55.32
2023,Northern,Kilinochchi,39710,5.02,1993,5.62,4.42,2.2,75.9,62.4,18.2,0.0,36200,5.4,16.0,35.8,74.2,99.0,58.5,1.2,3.36,1.49,55.32
2024,Northern,Kilinochchi,39900,3.93,1568,4.4,3.46,1.82,81.1,70.5,18.2,0.0,36200,5.4,16.0,35.8,74.2,99.0,58.5,0.94,3.36,1.17,55.32
